ANO;NESCOLNOME;EBAIRRNOME;EESCOLRUAE;AESCOLNUME;CESCOLRPAE;MODENS;COMPENS;ANOENSINO;ESERMODESC;NMODENNOME;TURMA;NTURESNOME;MAT;CALUNOSEXO;DALUNONASC;IDADE;SITU;ESITALDESC
2023;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1;0;1º ANO;1º ANO;ENSINO FUNDAMENTAL;A;MANHÃ;21646589;M;10/05/2016;7;TA;TR DUR ANO P/REDE
2023;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1;0;1º ANO;1º ANO;ENSINO FUNDAMENTAL;B;MANHÃ;19979797;F;27/06/2015;8;TA;TR DUR ANO P/REDE
2023;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1;1;2º ANO;2º ANO;ENSINO FUNDAMENTAL;A;MANHÃ;21097186;F;13/02/2016;7;MO;REMANEJADO
2023;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1;1;2º ANO;2º ANO;ENSINO FUNDAMENTAL;A;MANHÃ;20689047;F;01/03/2016;7;TR;TR DUR ANO FORA REDE
2023;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1;1;2º ANO;2º ANO;ENSINO FUNDAMENTAL;B;TARDE;21025258;M;14/01/2016;7;MO;REMANEJADO
2023;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1;1;2º ANO;2º ANO;ENSINO FUNDAMENTAL;C;TARDE;22173072;M;14/02/2015;8;TR;TR DUR ANO FORA REDE
2023;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1;1;2º ANO;2º ANO;ENSINO FUNDAMENTAL;C;TARDE;17788234;F;13/05/2015;8;TA;TR DUR ANO P/REDE
2023;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1;1;2º ANO;2º ANO;ENSINO FUNDAMENTAL;D;TARDE;22701370;M;23/03/2015;8;TR;TR DUR ANO FORA REDE
2023;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1;2;3º ANO;3º ANO;ENSINO FUNDAMENTAL;A;MANHÃ;18818064;M;13/05/2014;9;TR;TR DUR ANO FORA REDE
2023;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1;2;3º ANO;3º ANO;ENSINO FUNDAMENTAL;B;MANHÃ;19600852;F;30/06/2014;9;TA;TR DUR ANO P/REDE
2023;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1;2;3º ANO;3º ANO;ENSINO FUNDAMENTAL;B;MANHÃ;20058802;F;29/11/2014;9;TA;TR DUR ANO P/REDE
2023;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;1;2;3º ANO;3º ANO;ENSINO FUNDAMENTAL;C;TARDE;19655401;M;12/02/2015;8;MO;REMANEJADO
2023;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;9;MODULADA;MÓDULO 3;MODULADA;EDUCACAO JOVENS E ADULTOS;AM;NOITE;23614056;F;07/09/1961;62;TA;TR DUR ANO P/REDE
2023;ABILIO GOMES;BOA VIAGEM;BRUNO VELOZO;S/N;6;9;MODULADA;MÓDULO 2;MODULADA;EDUCACAO JOVENS E ADULTOS;AM;NOITE;21635692;F;07/12/1976;47;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;0;BERÇÁRIO;BERÇÁRIO;EDUCACAO INFANTIL;A;INTEGRAL;23000139;M;14/05/2022;1;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;0;BERÇÁRIO;BERÇÁRIO;EDUCACAO INFANTIL;A;INTEGRAL;23284200;F;08/06/2022;1;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;1;GRUPO I;GRUPO I;EDUCACAO INFANTIL;A;INTEGRAL;22091467;F;26/05/2021;2;D;DESIST/DEIXOU FREQUE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;1;GRUPO I;GRUPO I;EDUCACAO INFANTIL;A;INTEGRAL;22019650;F;16/07/2021;2;D;DESIST/DEIXOU FREQUE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;2;GRUPO II;GRUPO II;EDUCACAO INFANTIL;A;INTEGRAL;21058792;F;01/11/2020;3;D;DESIST/DEIXOU FREQUE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;2;GRUPO II;GRUPO II;EDUCACAO INFANTIL;A;INTEGRAL;21040699;M;22/05/2020;3;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;2;GRUPO II;GRUPO II;EDUCACAO INFANTIL;A;INTEGRAL;21000050;F;01/05/2020;3;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;2;GRUPO II;GRUPO II;EDUCACAO INFANTIL;B;INTEGRAL;22056246;F;21/08/2020;3;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;2;GRUPO II;GRUPO II;EDUCACAO INFANTIL;B;INTEGRAL;22004947;F;10/10/2020;3;TR;TR DUR ANO FORA REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;3;GRUPO III;GRUPO III;EDUCACAO INFANTIL;A;INTEGRAL;20014058;M;13/06/2019;4;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;3;GRUPO III;GRUPO III;EDUCACAO INFANTIL;A;INTEGRAL;23657693;F;01/11/2019;4;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;3;GRUPO III;GRUPO III;EDUCACAO INFANTIL;A;INTEGRAL;23644036;F;17/12/2019;4;MO;REMANEJADO
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;3;GRUPO III;GRUPO III;EDUCACAO INFANTIL;A;INTEGRAL;21737037;M;18/06/2019;4;TR;TR DUR ANO FORA REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;3;GRUPO III;GRUPO III;EDUCACAO INFANTIL;A;INTEGRAL;20008171;F;23/04/2019;4;TR;TR DUR ANO FORA REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;3;GRUPO III;GRUPO III;EDUCACAO INFANTIL;A;INTEGRAL;20780290;F;31/08/2019;4;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;3;GRUPO III;GRUPO III;EDUCACAO INFANTIL;A;INTEGRAL;20026676;M;01/06/2019;4;TR;TR DUR ANO FORA REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;3;GRUPO III;GRUPO III;EDUCACAO INFANTIL;A;INTEGRAL;20045603;F;25/07/2019;4;D;DESIST/DEIXOU FREQUE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;3;GRUPO III;GRUPO III;EDUCACAO INFANTIL;B;INTEGRAL;19658940;M;05/07/2019;4;MO;REMANEJADO
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;3;GRUPO III;GRUPO III;EDUCACAO INFANTIL;B;INTEGRAL;22007580;M;18/11/2019;4;MO;REMANEJADO
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;3;GRUPO III;GRUPO III;EDUCACAO INFANTIL;B;INTEGRAL;23019387;F;25/10/2019;4;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;3;GRUPO III;GRUPO III;EDUCACAO INFANTIL;B;INTEGRAL;21056463;F;16/02/2020;3;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;A;MANHÃ;22720863;F;31/05/2018;5;MO;REMANEJADO
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;A;MANHÃ;23635312;M;19/03/2019;4;MO;REMANEJADO
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;A;MANHÃ;23635495;M;27/04/2018;5;MO;REMANEJADO
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;A;MANHÃ;21614350;M;04/01/2019;4;MO;REMANEJADO
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;A;MANHÃ;21014477;M;28/11/2018;5;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;B;MANHÃ;21056056;M;09/04/2018;5;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;B;MANHÃ;20002521;M;05/01/2019;4;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;B;MANHÃ;19057075;M;15/08/2018;5;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;B;MANHÃ;23271191;M;09/12/2018;5;TR;TR DUR ANO FORA REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;B;MANHÃ;23629525;F;23/02/2019;4;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;B;MANHÃ;22639535;M;12/09/2018;5;MO;REMANEJADO
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;B;MANHÃ;22642072;F;11/09/2018;5;TA;TR DUR ANO P/REDE
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;B;MANHÃ;23076763;F;19/07/2018;5;MO;REMANEJADO
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;B;MANHÃ;21010307;M;15/03/2019;4;MO;REMANEJADO
2023;ALCIDES RESTELLI TEDESCO;MADALENA;FAUSTO CARDOSO;653;4;0;4;GRUPO IV;GRUPO IV;EDUCACAO INFANTIL;C;TARDE;19005997;M;29/04/2018;5;TA;TR DUR ANO P/REDE
